[2026-04-17 21:58:47] Environment: cuda | Batch Size: 128 | Epochs: 15 | Engine: qnnpack
[2026-04-17 21:58:51] FP32 Checkpoint Loaded: /root/autodl-tmp/my_backup/fp32_vgg16_best.pth
[2026-04-17 21:58:51] VGG16 Fusion: Features (auto) & Classifier (manual) complete.
[2026-04-17 21:58:52] Epoch     TrainAcc       TestAcc        Loss           
[2026-04-17 22:02:47] 1         99.99          95.32          0.0002         
[2026-04-17 22:02:48] New Best Accuracy: 95.32%
[2026-04-17 22:06:43] 2         100.00         95.32          0.0002         
[2026-04-17 22:10:37] 3         99.99          95.37          0.0003         
[2026-04-17 22:10:38] New Best Accuracy: 95.37%
[2026-04-17 22:14:32] 4         100.00         95.26          0.0002         
[2026-04-17 22:18:26] 5         100.00         95.51          0.0002         
[2026-04-17 22:18:27] New Best Accuracy: 95.51%
[2026-04-17 22:22:21] 6         100.00         95.35          0.0002         
[2026-04-17 22:26:14] 7         100.00         95.29          0.0002         
[2026-04-17 22:30:09] 8         100.00         95.42          0.0001         
[2026-04-17 22:34:03] 9         100.00         95.18          0.0002         
[2026-04-17 22:37:57] 10        100.00         95.52          0.0002         
[2026-04-17 22:37:58] New Best Accuracy: 95.52%
[2026-04-17 22:41:52] 11        100.00         95.33          0.0002         
[2026-04-17 22:45:45] 12        100.00         95.42          0.0002         
[2026-04-17 22:49:39] 13        100.00         95.42          0.0001         
[2026-04-17 22:53:33] 14        100.00         95.41          0.0002         
[2026-04-17 22:57:27] 15        100.00         95.22          0.0002         
[2026-04-17 22:57:27] Converting QAT model to INT8 and validating...
