epoch,train_acc,test_acc,loss,lr
1,83.01,70.21,0.553317,9.972609476841367e-05
2,86.742,71.45,0.424331,9.890738003669029e-05
3,88.192,72.43,0.372827,9.755282581475769e-05
4,88.984,72.51,0.34648,9.567727288213003e-05
5,89.762,72.72,0.320683,9.330127018922194e-05
6,89.964,73.83,0.311401,9.045084971874738e-05
7,90.6,73.01,0.289948,8.715724127386972e-05
8,90.488,73.49,0.291689,8.345653031794292e-05
9,92.49,75.09,0.223613,7.938926261462366e-05
10,93.37,75.46,0.193226,7.500000000000001e-05
11,93.948,75.79,0.177602,7.033683215379003e-05
12,94.21,76.21,0.163899,6.545084971874738e-05
13,94.45,76.43,0.154808,6.039558454088797e-05
14,94.822,76.7,0.148105,5.522642316338269e-05
15,94.96,76.35,0.14192,5.000000000000002e-05
16,95.154,76.39,0.135205,4.4773576836617344e-05
17,95.402,76.31,0.130673,3.9604415459112035e-05
18,95.516,76.68,0.126528,3.4549150281252636e-05
19,95.636,76.59,0.122318,2.966316784621e-05
20,95.506,76.95,0.123338,2.5000000000000015e-05
21,95.718,76.46,0.119309,2.0610737385376352e-05
22,95.902,76.78,0.11544,1.654346968205711e-05
23,95.88,76.83,0.115096,1.2842758726130304e-05
24,95.928,77.13,0.114587,9.549150281252636e-06
25,95.896,77.13,0.113396,6.698729810778068e-06
26,95.86,76.9,0.115129,4.322727117869953e-06
27,95.93,76.86,0.112391,2.447174185242324e-06
28,96.014,76.88,0.111796,1.092619963309716e-06
29,95.972,76.77,0.113317,2.7390523158633003e-07
30,96.04,76.72,0.110679,0.0
