layer_name,accuracy_drop,rank
features.1.conv.0.0,8.58,1
features.1.conv.1,1.07,2
features.4.conv.2,0.32,3
features.14.conv.2,0.31,4
features.2.conv.2,0.3,5
features.0.0,0.22,6
features.11.conv.1.0,0.21,7
features.3.conv.2,0.19,8
features.3.conv.1.0,0.18,9
features.6.conv.1.0,0.17,10
features.17.conv.2,0.17,11
features.7.conv.2,0.14,12
features.5.conv.2,0.14,13
features.16.conv.2,0.13,14
features.13.conv.2,0.1,15
features.6.conv.2,0.09,16
features.12.conv.2,0.08,17
features.14.conv.0.0,0.08,18
features.4.conv.0.0,0.07,19
features.5.conv.1.0,0.07,20
features.12.conv.1.0,0.07,21
features.15.conv.2,0.06,22
features.16.conv.1.0,0.06,23
features.8.conv.2,0.05,24
features.11.conv.0.0,0.05,25
features.8.conv.1.0,0.05,26
features.4.conv.1.0,0.05,27
features.6.conv.0.0,0.04,28
features.10.conv.1.0,0.04,29
features.13.conv.0.0,0.04,30
features.11.conv.2,0.03,31
features.15.conv.1.0,0.03,32
features.10.conv.2,0.02,33
features.18.0,0.02,34
features.9.conv.1.0,0.01,35
features.10.conv.0.0,0.01,36
features.13.conv.1.0,0.01,37
features.7.conv.1.0,0.01,38
features.5.conv.0.0,0.01,39
features.3.conv.0.0,0.01,40
features.16.conv.0.0,0.0,41
features.17.conv.1.0,0.0,42
classifier.1,0.0,43
features.9.conv.0.0,-0.01,44
features.14.conv.1.0,-0.01,45
features.2.conv.0.0,-0.02,46
features.2.conv.1.0,-0.02,47
features.15.conv.0.0,-0.02,48
features.12.conv.0.0,-0.03,49
features.7.conv.0.0,-0.04,50
features.17.conv.0.0,-0.05,51
features.8.conv.0.0,-0.08,52
features.9.conv.2,-0.08,53
