layer_name,accuracy_drop,rank
layer1.1.conv1,1.81,1
layer1.0.conv1,1.33,2
conv1,0.54,3
layer3.0.conv2,0.54,4
layer2.0.conv2,0.51,5
layer2.0.downsample.0,0.51,6
layer2.0.conv1,0.47,7
layer3.1.conv1,0.47,8
layer3.0.conv1,0.46,9
layer2.1.conv1,0.45,10
layer4.0.conv1,0.43,11
layer3.1.conv2,0.29,12
layer4.0.conv2,0.24,13
layer1.0.conv2,0.23,14
layer4.0.downsample.0,0.2,15
fc,0.18,16
layer3.0.downsample.0,0.14,17
layer1.1.conv2,0.12,18
layer2.1.conv2,0.1,19
layer4.1.conv2,0.05,20
layer4.1.conv1,0.01,21
